Model,Train_Accuracy,Test_Accuracy,Precision,Recall,F1_Score,CV_Mean,CV_Std,Overfit_Gap
Logistic Regression,0.6694214876033058,0.6065573770491803,0.5617190961453256,0.6065573770491803,0.5821233411397346,0.5908163265306122,0.07061694700766408,0.06286411055412544
XGBoost,1.0,0.5409836065573771,0.5071515399384252,0.5409836065573771,0.518071818891491,0.5496598639455782,0.0452476845240434,0.4590163934426229
